gfgid,gender,age_range,state
1,male,40,MI
2,female,40,
3,male,40,
4,male,40,MI
5,male,40,CO
6,male,40,
7,female,,
8,male,,
9,male,,
10,female,40,MN
11,male,,
12,female,30,
13,male,,
14,male,,
15,female,70,AZ
16,male,40,IL
17,male,60,NJ
18,male,,
19,male,40,NJ
20,female,30,MN
21,female,30,MI
22,male,30,WA
23,male,30,
24,male,,
25,male,70,
26,male,,
27,male,30,MI
28,female,40,MI
29,female,40,MI
30,male,,
31,female,40,CO
32,male,60,
33,female,30,
34,female,50,
35,male,,
36,male,,
37,female,,
38,male,30,MI
39,female,70,MN
40,female,,
41,female,40,WI
42,female,40,AL
43,male,,
44,male,40,IL
45,female,40,
46,female,50,CA
47,male,40,
48,male,30,MI
49,female,40,
50,female,40,MI
51,female,,
52,female,,
53,male,30,
54,male,30,MI
55,female,30,CO
56,male,50,
57,male,,
58,male,40,MD
59,female,40,MN
60,male,,
61,female,40,MN
62,male,,
63,female,40,
64,male,30,CO
65,male,40,
66,female,30,
67,female,,
68,female,,
69,female,60,MD
70,female,,
71,female,50,
72,female,40,
73,female,,
74,female,40,
75,female,,
76,female,40,
77,,,
78,female,40,OR
79,male,,
80,female,40,MI
81,female,30,
82,female,40,VA
83,female,,
84,female,70,NE
85,female,,
86,female,30,
87,female,30,CO
88,female,,
89,male,40,PA
90,female,,
91,female,30,
92,female,50,MA
93,male,30,
94,female,70,MN
95,male,30,CA
96,female,30,
97,female,,
98,female,30,CO
99,female,,
100,male,50,
101,male,,
102,female,,
103,male,30,
104,female,,
105,male,,
106,female,,
107,female,30,
108,male,30,MI
109,female,30,
110,female,,
111,female,,
112,female,,
113,female,,
114,female,40,MN
115,male,,
116,female,21,
117,female,50,NC
118,female,40,CO
119,male,,
120,female,60,MI
121,female,30,MI
122,male,40,
123,female,,
124,male,,
125,female,40,CA
126,male,30,MA
127,female,30,TX
128,male,40,MI
129,female,30,MI
130,male,40,CA
131,female,,
132,female,,
133,female,40,NM
134,female,30,
135,female,30,
136,female,30,WA
137,male,,
138,female,40,KY
139,male,21,CA
140,female,30,MI
141,female,,
142,female,99,
143,male,30,
144,male,70,MN
145,female,30,
146,female,70,
147,female,,
148,female,30,MI
149,female,30,
150,male,,
151,male,,
152,female,,
153,female,30,MI
154,male,40,
155,female,30,
156,male,30,MI
157,male,,
158,female,40,
159,female,,
160,female,60,MD
161,male,30,
162,female,,
163,female,,
164,female,,
165,male,30,
166,female,40,
167,male,40,MO
168,male,40,
169,female,,
170,female,60,
171,male,50,PA
172,male,,
173,male,50,
174,male,,
175,female,40,MI
176,male,60,
177,male,,
178,female,30,CA
179,male,40,
180,female,30,MI
181,male,40,UT
182,female,40,MD
183,female,30,MD
184,female,,
185,female,40,
186,female,,
187,female,30,CO
188,male,,
189,female,40,
190,male,30,
191,female,30,MD
192,female,50,MN
193,female,70,
194,female,,
195,female,30,
196,male,,
197,female,,
